ID                                          County     State    # of Tracts    Population
Autauga_AL                                 Autauga        AL             12         54571
Baldwin_AL                                 Baldwin        AL             31        182265
Barbour_AL                                 Barbour        AL              9         27457
Bibb_AL                                       Bibb        AL              4         22915
Blount_AL                                   Blount        AL              9         57322
Bullock_AL                                 Bullock        AL              3         10914
Butler_AL                                   Butler        AL              9         20947
Calhoun_AL                                 Calhoun        AL             31        118572
Chambers_AL                               Chambers        AL              9         34215
Cherokee_AL                               Cherokee        AL              6         25989
Chilton_AL                                 Chilton        AL              9         43643
Choctaw_AL                                 Choctaw        AL              4         13859
Clarke_AL                                   Clarke        AL              9         25833
Clay_AL                                       Clay        AL              4         13932
Cleburne_AL                               Cleburne        AL              4         14972
Coffee_AL                                   Coffee        AL             14         49948
Colbert_AL                                 Colbert        AL             14         54428
Conecuh_AL                                 Conecuh        AL              5         13228
Coosa_AL                                     Coosa        AL              3         11539
Covington_AL                             Covington        AL             14         37765
Crenshaw_AL                               Crenshaw        AL              6         13906
Cullman_AL                                 Cullman        AL             18         80406
Dale_AL                                       Dale        AL             14         50251
Dallas_AL                                   Dallas        AL             15         43820
DeKalb_AL                                   DeKalb        AL             14         71109
Elmore_AL                                   Elmore        AL             15         79303
Escambia_AL                               Escambia        AL              9         38319
Etowah_AL                                   Etowah        AL             30        104430
Fayette_AL                                 Fayette        AL              5         17241
Franklin_AL                               Franklin        AL              9         31704
Geneva_AL                                   Geneva        AL              6         26790
Greene_AL                                   Greene        AL              3          9045
Hale_AL                                       Hale        AL              6         15760
Henry_AL                                     Henry        AL              6         17302
Houston_AL                                 Houston        AL             22        101547
Jackson_AL                                 Jackson        AL             11         53227
Jefferson_AL                             Jefferson        AL            163        658466
Lamar_AL                                     Lamar        AL              3         14564
Lauderdale_AL                           Lauderdale        AL             22         92709
Lawrence_AL                               Lawrence        AL              9         34339
Lee_AL                                         Lee        AL             27        140247
Limestone_AL                             Limestone        AL             16         82782
Lowndes_AL                                 Lowndes        AL              4         11299
Macon_AL                                     Macon        AL             12         21452
Madison_AL                                 Madison        AL             73        334811
Marengo_AL                                 Marengo        AL              6         21027
Marion_AL                                   Marion        AL              8         30776
Marshall_AL                               Marshall        AL             18         93019
Mobile_AL                                   Mobile        AL            114        412992
Monroe_AL                                   Monroe        AL              7         23068
Montgomery_AL                           Montgomery        AL             65        229363
Morgan_AL                                   Morgan        AL             27        119490
Perry_AL                                     Perry        AL              3         10591
Pickens_AL                                 Pickens        AL              5         19746
Pike_AL                                       Pike        AL              8         32899
Randolph_AL                               Randolph        AL              6         22913
Russell_AL                                 Russell        AL             13         52947
St. Clair_AL                             St. Clair        AL             13         83593
Shelby_AL                                   Shelby        AL             48        195085
Sumter_AL                                   Sumter        AL              4         13763
Talladega_AL                             Talladega        AL             22         82291
Tallapoosa_AL                           Tallapoosa        AL             10         41616
Tuscaloosa_AL                           Tuscaloosa        AL             47        194656
Walker_AL                                   Walker        AL             18         67023
Washington_AL                           Washington        AL              5         17581
Wilcox_AL                                   Wilcox        AL              4         11670
Winston_AL                                 Winston        AL              7         24484
Aleutians East_AK                   Aleutians East        AK              1          3141
Aleutians West_AK                   Aleutians West        AK              2          5561
Anchorage_AK                             Anchorage        AK             55        291826
Bethel_AK                                   Bethel        AK              3         17013
Bristol Bay_AK                         Bristol Bay        AK              1           997
Denali_AK                                   Denali        AK              1          1826
Dillingham_AK                           Dillingham        AK              2          4847
Fairbanks North Star_AK       Fairbanks North Star        AK             19         97581
Haines_AK                                   Haines        AK              1          2508
Hoonah-Angoon_AK                     Hoonah-Angoon        AK              2          2150
Juneau_AK                                   Juneau        AK              6         31275
Kenai Peninsula_AK                 Kenai Peninsula        AK             13         55400
Ketchikan Gateway_AK             Ketchikan Gateway        AK              4         13477
Kodiak Island_AK                     Kodiak Island        AK              5         13592
Lake and Peninsula_AK           Lake and Peninsula        AK              1          1631
Matanuska-Susitna_AK             Matanuska-Susitna        AK             24         88995
Nome_AK                                       Nome        AK              2          9492
North Slope_AK                         North Slope        AK              3          9430
Northwest Arctic_AK               Northwest Arctic        AK              2          7523
Petersburg_AK                           Petersburg        AK              1          3815
Prince of Wales-Hyder_AK      Prince of Wales-Hyder        AK              4          5559
Sitka_AK                                     Sitka        AK              2          8881
Skagway_AK                                 Skagway        AK              1           968
Southeast Fairbanks_AK         Southeast Fairbanks        AK              2          7029
Valdez-Cordova_AK                   Valdez-Cordova        AK              3          9636
Wade Hampton_AK                       Wade Hampton        AK              1          7459
Wrangell_AK                               Wrangell        AK              1          2369
Yakutat_AK                                 Yakutat        AK              1           662
Yukon-Koyukuk_AK                     Yukon-Koyukuk        AK              4          5588
Apache_AZ                                   Apache        AZ             16         71518
Cochise_AZ                                 Cochise        AZ             32        131346
Coconino_AZ                               Coconino        AZ             28        134421
Gila_AZ                                       Gila        AZ             16         53597
Graham_AZ                                   Graham        AZ              9         37220
Greenlee_AZ                               Greenlee        AZ              3          8437
La Paz_AZ                                   La Paz        AZ              9         20489
Maricopa_AZ                               Maricopa        AZ            916       3817117
Mohave_AZ                                   Mohave        AZ             43        200186
Navajo_AZ                                   Navajo        AZ             31        107449
Pima_AZ                                       Pima        AZ            241        980263
Pinal_AZ                                     Pinal        AZ             75        375770
Santa Cruz_AZ                           Santa Cruz        AZ             10         47420
Yavapai_AZ                                 Yavapai        AZ             42        211033
Yuma_AZ                                       Yuma        AZ             55        195751
Arkansas_AR                               Arkansas        AR              8         19019
Ashley_AR                                   Ashley        AR              7         21853
Baxter_AR                                   Baxter        AR              9         41513
Benton_AR                                   Benton        AR             49        221339
Boone_AR                                     Boone        AR              7         36903
Bradley_AR                                 Bradley        AR              5         11508
Calhoun_AR                                 Calhoun        AR              2          5368
Carroll_AR                                 Carroll        AR              5         27446
Chicot_AR                                   Chicot        AR              4         11800
Clark_AR                                     Clark        AR              5         22995
Clay_AR                                       Clay        AR              6         16083
Cleburne_AR                               Cleburne        AR              7         25970
Cleveland_AR                             Cleveland        AR              2          8689
Columbia_AR                               Columbia        AR              5         24552
Conway_AR                                   Conway        AR              6         21273
Craighead_AR                             Craighead        AR             17         96443
Crawford_AR                               Crawford        AR             11         61948
Crittenden_AR                           Crittenden        AR             20         50902
Cross_AR                                     Cross        AR              6         17870
Dallas_AR                                   Dallas        AR              3          8116
Desha_AR                                     Desha        AR              5         13008
Drew_AR                                       Drew        AR              5         18509
Faulkner_AR                               Faulkner        AR             25        113237
Franklin_AR                               Franklin        AR              3         18125
Fulton_AR                                   Fulton        AR              2         12245
Garland_AR                                 Garland        AR             20         96024
Grant_AR                                     Grant        AR              4         17853
Greene_AR                                   Greene        AR              9         42090
Hempstead_AR                             Hempstead        AR              5         22609
Hot Spring_AR                           Hot Spring        AR              7         32923
Howard_AR                                   Howard        AR              3         13789
Independence_AR                       Independence        AR              8         36647
Izard_AR                                     Izard        AR              4         13696
Jackson_AR                                 Jackson        AR              5         17997
Jefferson_AR                             Jefferson        AR             24         77435
Johnson_AR                                 Johnson        AR              6         25540
Lafayette_AR                             Lafayette        AR              2          7645
Lawrence_AR                               Lawrence        AR              6         17415
Lee_AR                                         Lee        AR              4         10424
Lincoln_AR                                 Lincoln        AR              4         14134
Little River_AR                       Little River        AR              4         13171
Logan_AR                                     Logan        AR              6         22353
Lonoke_AR                                   Lonoke        AR             16         68356
Madison_AR                                 Madison        AR              4         15717
Marion_AR                                   Marion        AR              4         16653
Miller_AR                                   Miller        AR             12         43462
Mississippi_AR                         Mississippi        AR             12         46480
Monroe_AR                                   Monroe        AR              3          8149
Montgomery_AR                           Montgomery        AR              3          9487
Nevada_AR                                   Nevada        AR              3          8997
Newton_AR                                   Newton        AR              2          8330
Ouachita_AR                               Ouachita        AR              6         26120
Perry_AR                                     Perry        AR              3         10445
Phillips_AR                               Phillips        AR              6         21757
Pike_AR                                       Pike        AR              3         11291
Poinsett_AR                               Poinsett        AR              7         24583
Polk_AR                                       Polk        AR              6         20662
Pope_AR                                       Pope        AR             11         61754
Prairie_AR                                 Prairie        AR              3          8715
Pulaski_AR                                 Pulaski        AR             95        382748
Randolph_AR                               Randolph        AR              4         17969
St. Francis_AR                         St. Francis        AR              6         28258
Saline_AR                                   Saline        AR             21        107118
Scott_AR                                     Scott        AR              3         11233
Searcy_AR                                   Searcy        AR              3          8195
Sebastian_AR                             Sebastian        AR             26        125744
Sevier_AR                                   Sevier        AR              4         17058
Sharp_AR                                     Sharp        AR              4         17264
Stone_AR                                     Stone        AR              3         12394
Union_AR                                     Union        AR             10         41639
Van Buren_AR                             Van Buren        AR              5         17295
Washington_AR                           Washington        AR             32        203065
White_AR                                     White        AR             13         77076
Woodruff_AR                               Woodruff        AR              2          7260
Yell_AR                                       Yell        AR              6         22185
Alameda_CA                                 Alameda        CA            360       1510271
Alpine_CA                                   Alpine        CA              1          1175
Amador_CA                                   Amador        CA              9         38091
Butte_CA                                     Butte        CA             51        220000
Calaveras_CA                             Calaveras        CA             10         45578
Colusa_CA                                   Colusa        CA              5         21419
Contra Costa_CA                       Contra Costa        CA            208       1049025
Del Norte_CA                             Del Norte        CA              7         28610
El Dorado_CA                             El Dorado        CA             43        181058
Fresno_CA                                   Fresno        CA            199        930450
Glenn_CA                                     Glenn        CA              6         28122
Humboldt_CA                               Humboldt        CA             30        134623
Imperial_CA                               Imperial        CA             31        174528
Inyo_CA                                       Inyo        CA              6         18546
Kern_CA                                       Kern        CA            151        839631
Kings_CA                                     Kings        CA             27        152982
Lake_CA                                       Lake        CA             15         64665
Lassen_CA                                   Lassen        CA              9         34895
Los Angeles_CA                         Los Angeles        CA           2343       9818605
Madera_CA                                   Madera        CA             23        150865
Marin_CA                                     Marin        CA             55        252409
Mariposa_CA                               Mariposa        CA              6         18251
Mendocino_CA                             Mendocino        CA             20         87841
Merced_CA                                   Merced        CA             49        255793
Modoc_CA                                     Modoc        CA              4          9686
Mono_CA                                       Mono        CA              3         14202
Monterey_CA                               Monterey        CA             93        415057
Napa_CA                                       Napa        CA             40        136484
Nevada_CA                                   Nevada        CA             20         98764
Orange_CA                                   Orange        CA            583       3010232
Placer_CA                                   Placer        CA             85        348432
Plumas_CA                                   Plumas        CA              7         20007
Riverside_CA                             Riverside        CA            453       2189641
Sacramento_CA                           Sacramento        CA            317       1418788
San Benito_CA                           San Benito        CA             11         55269
San Bernardino_CA                   San Bernardino        CA            369       2035210
San Diego_CA                             San Diego        CA            628       3095313
San Francisco_CA                     San Francisco        CA            196        805235
San Joaquin_CA                         San Joaquin        CA            139        685306
San Luis Obispo_CA                 San Luis Obispo        CA             53        269637
San Mateo_CA                             San Mateo        CA            158        718451
Santa Barbara_CA                     Santa Barbara        CA             90        423895
Santa Clara_CA                         Santa Clara        CA            372       1781642
Santa Cruz_CA                           Santa Cruz        CA             52        262382
Shasta_CA                                   Shasta        CA             48        177223
Sierra_CA                                   Sierra        CA              1          3240
Siskiyou_CA                               Siskiyou        CA             14         44900
Solano_CA                                   Solano        CA             96        413344
Sonoma_CA                                   Sonoma        CA             99        483878
Stanislaus_CA                           Stanislaus        CA             94        514453
Sutter_CA                                   Sutter        CA             21         94737
Tehama_CA                                   Tehama        CA             11         63463
Trinity_CA                                 Trinity        CA              5         13786
Tulare_CA                                   Tulare        CA             78        442179
Tuolumne_CA                               Tuolumne        CA             11         55365
Ventura_CA                                 Ventura        CA            174        823318
Yolo_CA                                       Yolo        CA             41        200849
Yuba_CA                                       Yuba        CA             14         72155
Adams_CO                                     Adams        CO             97        441603
Alamosa_CO                                 Alamosa        CO              4         15445
Arapahoe_CO                               Arapahoe        CO            147        572003
Archuleta_CO                             Archuleta        CO              4         12084
Baca_CO                                       Baca        CO              2          3788
Bent_CO                                       Bent        CO              1          6499
Boulder_CO                                 Boulder        CO             68        294567
Broomfield_CO                           Broomfield        CO             18         55889
Chaffee_CO                                 Chaffee        CO              5         17809
Cheyenne_CO                               Cheyenne        CO              1          1836
Clear Creek_CO                         Clear Creek        CO              3          9088
Conejos_CO                                 Conejos        CO              2          8256
Costilla_CO                               Costilla        CO              2          3524
Crowley_CO                                 Crowley        CO              1          5823
Custer_CO                                   Custer        CO              1          4255
Delta_CO                                     Delta        CO              7         30952
Denver_CO                                   Denver        CO            144        600158
Dolores_CO                                 Dolores        CO              1          2064
Douglas_CO                                 Douglas        CO             61        285465
Eagle_CO                                     Eagle        CO             14         52197
Elbert_CO                                   Elbert        CO              7         23086
El Paso_CO                                 El Paso        CO            130        622263
Fremont_CO                                 Fremont        CO             14         46824
Garfield_CO                               Garfield        CO             11         56389
Gilpin_CO                                   Gilpin        CO              1          5441
Grand_CO                                     Grand        CO              3         14843
Gunnison_CO                               Gunnison        CO              4         15324
Hinsdale_CO                               Hinsdale        CO              1           843
Huerfano_CO                               Huerfano        CO              2          6711
Jackson_CO                                 Jackson        CO              1          1394
Jefferson_CO                             Jefferson        CO            138        534543
Kiowa_CO                                     Kiowa        CO              1          1398
Kit Carson_CO                           Kit Carson        CO              3          8270
Lake_CO                                       Lake        CO              2          7310
La Plata_CO                               La Plata        CO             10         51334
Larimer_CO                                 Larimer        CO             73        299630
Las Animas_CO                           Las Animas        CO              6         15507
Lincoln_CO                                 Lincoln        CO              2          5467
Logan_CO                                     Logan        CO              6         22709
Mesa_CO                                       Mesa        CO             29        146723
Mineral_CO                                 Mineral        CO              1           712
Moffat_CO                                   Moffat        CO              4         13795
Montezuma_CO                             Montezuma        CO              7         25535
Montrose_CO                               Montrose        CO             10         41276
Morgan_CO                                   Morgan        CO              8         28159
Otero_CO                                     Otero        CO              7         18831
Ouray_CO                                     Ouray        CO              1          4436
Park_CO                                       Park        CO              5         16206
Phillips_CO                               Phillips        CO              2          4442
Pitkin_CO                                   Pitkin        CO              4         17148
Prowers_CO                                 Prowers        CO              5         12551
Pueblo_CO                                   Pueblo        CO             55        159063
Rio Blanco_CO                           Rio Blanco        CO              2          6666
Rio Grande_CO                           Rio Grande        CO              3         11982
Routt_CO                                     Routt        CO              8         23509
Saguache_CO                               Saguache        CO              2          6108
San Juan_CO                               San Juan        CO              1           699
San Miguel_CO                           San Miguel        CO              4          7359
Sedgwick_CO                               Sedgwick        CO              1          2379
Summit_CO                                   Summit        CO              5         27994
Teller_CO                                   Teller        CO              6         23350
Washington_CO                           Washington        CO              2          4814
Weld_CO                                       Weld        CO             77        252825
Yuma_CO                                       Yuma        CO              2         10043
Fairfield_CT                             Fairfield        CT            211        916829
Hartford_CT                               Hartford        CT            224        894014
Litchfield_CT                           Litchfield        CT             51        189927
Middlesex_CT                             Middlesex        CT             36        165676
New Haven_CT                             New Haven        CT            190        862477
New London_CT                           New London        CT             66        274055
Tolland_CT                                 Tolland        CT             29        152691
Windham_CT                                 Windham        CT             25        118428
Kent_DE                                       Kent        DE             33        162310
New Castle_DE                           New Castle        DE            131        538479
Sussex_DE                                   Sussex        DE             54        197145
District of Columbia_DC       District of Columbia        DC            179        601723
Alachua_FL                                 Alachua        FL             56        247336
